FID,FID_,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,ID,MapID
15,15,u3, ,33,32,30,6,8,R,18,698, ,u3,shrub,622555.493499999982305,3849068.178760000038892,0,0
16,16,eri.fas, ,40,63,29,6,8,R,30,768, ,eri.fas,shrub,622555.613499999977648,3849068.878760000225157,0,0
17,17,cyl.ram, ,168,151,102,6,8,R,66,930, ,cyl.ram,cactus,622555.973499999963678,3849070.498759999871254,0,0
18,18,amb.sal, ,70,67,66,6,8,R,160,856, ,amb.sal,shrub,622556.913500000024214,3849069.758760000113398,0,0
19,19,u3, ,60,70,50,6,8,R,264,850, ,u3,shrub,622557.953499999945052,3849069.698760000057518,0,0
20,20,cyl.ech, ,13,23,45,6,8,R,289,784, ,cyl.ech,cactus,622558.203499999945052,3849069.038759999908507,0,0
21,21,amb.sal, ,36,45,45,6,8,R,289,777, ,amb.sal,shrub,622558.203499999945052,3849068.968760000076145,0,0
22,22,lar.tri, ,245,210,192,6,8,R,498,844, ,lar.tri,shrub,622560.293500000028871,3849069.638760000001639,0,0
23,23,ephedra, ,33,32,34,6,8,R,460,969, ,ephedra,shrub,622559.913500000024214,3849070.888760000001639,0,0
24,24,lar.tri, ,204,191,151,6,8,R,570,665, ,lar.tri,shrub,622561.013500000000931,3849067.848759999964386,0,0
25,25,eri.fas, ,18,15,19,6,8,R,751,685, ,eri.fas,shrub,622562.823500000056811,3849068.048760000150651,0,0
26,26,u3, ,18,20,33,6,8,R,701,635, ,u3,shrub,622562.323500000056811,3849067.548760000150651,0,0
27,27,u3, ,57,53,53,6,8,R,675,495, ,u3,shrub,622562.063500000047497,3849066.148759999778122,0,0
28,28,lar.tri, ,147,230,157,6,8,R,497,372, ,lar.tri,shrub,622560.283500000019558,3849064.918759999796748,0,0
29,29,PG, ,30,45,36,6,8,R,520,393, ,PG,shrub,622560.513500000000931,3849065.128760000225157,0,0
30,30,eri.fas, ,33,27,31,6,8,R,690,330, ,eri.fas,shrub,622562.213499999954365,3849064.498759999871254,0,0
31,31,u3, ,42,30,42,6,8,R,690,298, ,u3,shrub,622562.213499999954365,3849064.178760000038892,0,0
32,32,eri.fas, ,29,15,23,6,8,R,934,218, ,eri.fas,shrub,622564.653500000014901,3849063.378760000225157,0,0
33,33,eri.fas, ,24,38,18,6,8,R,955,196, ,eri.fas,shrub,622564.863499999977648,3849063.158760000020266,0,0
34,34,ephedra, ,80,82,59,6,8,L,200,38, ,ephedra,shrub,622567.313500000047497,3849061.578759999945760,0,0
35,35,lar.tri, ,354,309,183,6,8,L,265,109, ,lar.tri,shrub,622567.963499999954365,3849062.288759999908507,0,0
36,36,ephedra, ,42,95,73,6,8,L,270,49, ,ephedra,shrub,622568.013500000000931,3849061.688759999815375,0,0
37,37,ephedra, ,112,92,66,6,8,L,410,106, ,ephedra,shrub,622569.413500000024214,3849062.258760000113398,0,0
38,38,u3, ,48,49,39,6,8,L,310,259, ,u3,shrub,622568.413500000024214,3849063.788759999908507,0,0
39,39,u3, ,26,20,22,6,8,L,430,342, ,u3,shrub,622569.613499999977648,3849064.618759999983013,0,0
40,40,u3, ,14,14,18,6,8,L,484,309, ,u3,shrub,622570.153500000014901,3849064.288759999908507,0,0
41,41,u3, ,11,14,17,6,8,L,506,273, ,u3,shrub,622570.373499999986961,3849063.928760000038892,0,0
42,42,lar.tri, ,290,295,180,6,8,L,55,505, ,lar.tri,shrub,622565.863499999977648,3849066.248759999871254,0,0
43,44,lar.tri, ,153,203,110,6,8,L,40,865, ,lar.tri,shrub,622565.313500000047497,3849069.844790000002831,0,0
44,45,u3, ,40,50,34,6,8,L,160,885, ,u3,shrub,622566.313500000047497,3849070.028909999877214,0,0
45,46,u3, ,16,20,23,6,8,L,390,790, ,u3,shrub,622569.213499999954365,3849069.098759999964386,0,0
46,47,u3, ,29,33,37,6,8,L,420,595, ,u3,shrub,622569.513500000000931,3849067.148759999778122,0,0
47,48,u3, ,53,55,32,6,8,L,425,480, ,u3,shrub,622569.563500000047497,3849065.998759999871254,0,0
48,49,cyl.ech, ,37,41,33,6,8,L,445,465, ,cyl.ech,cactus,622569.763500000000931,3849065.848759999964386,0,0
49,50,u3, ,27,11,29,6,8,L,650,910, ,u3,shrub,622571.813500000047497,3849070.298760000150651,0,0
50,51,lar.tri, ,320,363,264,6,8,L,960,905, ,lar.tri,shrub,622574.913500000024214,3849070.248759999871254,0,0
51,52,u3, ,33,25,29,6,8,L,880,590, ,u3,shrub,622574.113499999977648,3849067.098759999964386,0,0
52,53,u3, ,46,46,36,6,8,L,770,470, ,u3,shrub,622573.013500000000931,3849065.898759999778122,0,0
53,54,lar.tri, ,241,271,243,6,8,L,770,330, ,lar.tri,shrub,622573.013500000000931,3849064.498759999871254,0,0
54,55,u3, ,9,8,15,6,8,L,950,420, ,u3,shrub,622574.813500000047497,3849065.398759999778122,0,0
55,56,ephedra, ,55,56,43,6,8,L,730,60, ,ephedra,shrub,622572.613499999977648,3849061.798760000150651,0,0
56,57,u3, ,54,57,41,6,8,L,680,210, ,u3,shrub,622572.113499999977648,3849063.298760000150651,0,0
57,58,ephedra, ,44,34,45,6,8,L,735,325, ,ephedra,shrub,622572.663500000024214,3849064.448760000057518,0,0
58,59,ephedra, ,108,94,50,6,8,L,670,370, ,ephedra,shrub,622572.013500000000931,3849064.898759999778122,0,0
59,60,u3, ,40,30,36,6,8,L,580,465, ,u3,shrub,622571.113499999977648,3849065.848759999964386,0,0
60,61,PG, ,85,87,96,6,7,R,60,50, ,PG,shrub,622555.913500000024214,3849071.698760000057518,0,0
61,62,u3, ,32,38,35,6,7,R,75,30, ,u3,shrub,622556.063500000047497,3849071.498759999871254,0,0
62,63,eri.fas, ,78,86,46,6,7,R,255,30, ,eri.fas,shrub,622557.863499999977648,3849071.498759999871254,0,0
63,64,amb.sal, ,9,10,14,6,7,R,370,95, ,amb.sal,shrub,622559.013500000000931,3849072.148759999778122,0,0
64,65,ephedra, ,74,75,50,6,7,R,25,310, ,ephedra,shrub,622555.563500000047497,3849074.298760000150651,0,0
65,66,PG, ,69,79,59,6,7,R,0,330, ,PG,shrub,622555.313500000047497,3849074.498759999871254,0,0
66,67,cyl.ech, ,31,22,40,6,7,R,20,345, ,cyl.ech,cactus,622555.513500000000931,3849074.648759999778122,0,0
67,68,u3, ,27,45,39,6,7,R,75,450, ,u3,shrub,622556.126999999978580,3849013.941999999806285,0,0
68,69,u3, ,67,50,45,6,7,R,95,595, ,u3,shrub,622556.263500000000931,3849077.148759999778122,0,0
69,70,ephedra, ,95,95,60,6,7,R,195,510, ,ephedra,shrub,622557.263500000000931,3849076.298760000150651,0,0
70,71,tha.mon, ,33,24,28,6,7,R,245,550, ,tha.mon,shrub,622557.763500000000931,3849076.698760000057518,0,0
71,72,u3, ,29,50,34,6,7,R,245,550, ,u3,shrub,622557.763500000000931,3849076.698760000057518,0,0
72,73,u3, ,53,43,44,6,7,R,190,410, ,u3,shrub,622557.213499999954365,3849075.298760000150651,0,0
73,74,u3, ,38,40,48,6,7,R,10,800, ,u3,shrub,622555.413500000024214,3849079.198760000057518,0,0
74,75,ephedra, ,107,135,69,0,0, ,0,0, ,ephedra,shrub,622556.663500000024214,3849079.898759999778122,0,0
75,76,u3, ,30,53,51,6,7, ,215,870, ,u3,shrub,622557.463499999954365,3849079.898759999778122,0,0
76,77,u3, ,27,29,41,6,7,R,235,825, ,u3,shrub,622557.663500000024214,3849079.448760000057518,0,0
77,78,u3, ,80,50,47,6,7,R,260,900, ,u3,shrub,622557.913500000024214,3849080.198760000057518,0,0
78,79,amb.sal, ,35,57,50,6,7,R,365,860, ,amb.sal,shrub,622558.963499999954365,3849079.798760000150651,0,0
79,80,u3, ,58,40,38,6,7,R,515,910, ,u3,shrub,622560.463499999954365,3849080.298760000150651,0,0
80,81,u3, ,36,41,37,6,7,R,555,770, ,u3,shrub,622560.863499999977648,3849078.898759999778122,0,0
81,82,u3, ,26,33,37,6,7,R,655,975, ,u3,shrub,622561.863499999977648,3849080.948760000057518,0,0
82,83,u3, ,62,52,56,6,7,R,710,920, ,u3,shrub,622562.413500000024214,3849080.898759999778122,0,0
83,84,cyl.ram, ,14,16,40,6,7,R,710,970, ,cyl.ram,cactus,622562.413500000024214,3849080.898759999778122,0,0
84,85,lar.tri, ,460,366,160,6,7,R,775,715, ,lar.tri,shrub,622563.063500000047497,3849078.348759999964386,0,0
85,86,lar.tri, ,284,243,234,6,7,R,860,370, ,lar.tri,shrub,622563.913500000024214,3849074.898759999778122,0,0
86,87,ephedra, ,60,47,46,6,7,R,745,175, ,ephedra,shrub,622562.763500000000931,3849072.948760000057518,0,0
87,88,u3, ,36,30,27,6,7,R,540,640, ,u3,shrub,622560.713499999954365,3849077.598759999964386,0,0
88,89,u3, ,49,33,43,6,7,R,520,605, ,u3,shrub,622560.513500000000931,3849077.248759999871254,0,0
89,90,ephedra, ,69,64,50,6,7,R,550,475, ,ephedra,shrub,622560.813500000047497,3849075.948760000057518,0,0
90,91,u3, ,39,32,42,6,7,R,420,565, ,u3,shrub,622559.513500000000931,3849076.848759999964386,0,0
91,92,u3, ,50,30,35,6,7,R,480,210, ,u3,shrub,622560.113499999977648,3849073.298760000150651,0,0
92,93,lar.tri, ,75,95,55,6,7,R,400,290, ,lar.tri,shrub,622559.313500000047497,3849074.098759999964386,0,0
93,94,u3, ,60,53,52,6,7,R,320,340, ,u3,shrub,622558.513500000000931,3849074.598759999964386,0,0
94,95,cyl.ram, ,7,5,16,6,7,R,320,245, ,cyl.ram,cactus,622558.513500000000931,3849073.648759999778122,0,0
95,96,u3, ,25,42,36,6,7,R,260,310, ,u3,shrub,622557.913500000024214,3849074.298760000150651,0,0
96,97,lar.tri, ,15,12,20,6,7,R,210,280, ,lar.tri,shrub,622557.413500000024214,3849073.998759999871254,0,0
97,98,u3, ,45,45,38,6,7,L,50,30, ,u3,shrub,622565.813500000047497,3849071.498759999871254,0,0
98,99,ephedra, ,42,60,35,6,7,L,125,65, ,ephedra,shrub,622566.563500000047497,3849071.848759999964386,0,0
99,100,ephedra, ,60,90,59,6,7,L,160,105, ,ephedra,shrub,622566.913500000024214,3849072.248759999871254,0,0
100,101,ephedra, ,30,28,33,6,7,L,295,270, ,ephedra,shrub,622568.263500000000931,3849073.898759999778122,0,0
101,102,ephedra, ,64,65,51,6,7,L,305,315, ,ephedra,shrub,622568.363499999977648,3849074.348759999964386,0,0
102,103,ephedra, ,30,37,32,6,7,L,320,355, ,ephedra,shrub,622568.513500000000931,3849074.748759999871254,0,0
103,104,ephedra, ,6,8,19,6,7,L,295,255, ,ephedra,shrub,622568.263500000000931,3849073.748759999871254,0,0
104,105,ephedra, ,9,25,34,6,7,L,295,295, ,ephedra,shrub,622568.263500000000931,3849074.148759999778122,0,0
105,106,ephedra, ,4,6,28,6,7,L,305,260, ,ephedra,shrub,622568.363499999977648,3849073.798760000150651,0,0
106,107,ephedra, ,7,6,18,6,7,L,305,240, ,ephedra,shrub,622568.363499999977648,3849073.598759999964386,0,0
107,108,ephedra, ,12,13,35,6,7,L,315,285, ,ephedra,shrub,622568.463499999954365,3849074.048760000150651,0,0
108,109,lar.tri, ,308,339,193,6,7,L,355,680, ,lar.tri,shrub,622567.063500000047497,3849078.898759999778122,0,0
109,110,amb.sal, ,67,79,58,6,7,L,20,920, ,amb.sal,shrub,622565.513500000000931,3849080.398759999778122,0,0
110,111,ephedra, ,33,15,37,6,7,L,155,915, ,ephedra,shrub,622566.863499999977648,3849080.348759999964386,0,0
111,112,ephedra, ,40,20,35,6,7,L,175,770, ,ephedra,shrub,622567.063500000047497,3849078.898759999778122,0,0
112,113,ephedra, ,26,33,40,6,7,L,195,795, ,ephedra,shrub,622567.263500000000931,3849079.148759999778122,0,0
113,114,ephedra, ,20,12,32,6,7,L,235,805, ,ephedra,shrub,622567.663500000024214,3849079.248759999871254,0,0
114,115,ephedra, ,25,24,34,6,7,L,235,835, ,ephedra,shrub,622567.663500000024214,3849079.548760000150651,0,0
115,116,u3, ,62,63,46,6,7,L,425,780, ,u3,shrub,622569.563500000047497,3849078.998759999871254,0,0
116,118,ephedra, ,170,100,47,6,7,L,395,550, ,ephedra,shrub,622569.263500000000931,3849075.698760000057518,0,0
117,0,lar.tri, ,363,345,230,0,0, ,0,0, ,lar.tri,shrub,622569.263500000000931,3849073.348759999964386,0,0
118,119,u3, ,28,26,40,6,7,L,490,750, ,u3,shrub,622570.213499999954365,3849078.698760000057518,0,0
119,120,cyl.ram, ,15,26,40,6,7,L,510,845, ,cyl.ram,cactus,622570.413500000024214,3849079.648759999778122,0,0
120,121,PG, ,52,60,53,6,7,L,550,960, ,PG,shrub,622570.813500000047497,3849080.798760000150651,0,0
121,122,cyl.ram, ,33,22,45,6,7,L,590,800, ,cyl.ram,cactus,622571.213499999954365,3849079.198760000057518,0,0
122,123,u3, ,31,19,30,6,7,L,670,900, ,u3,shrub,622572.013500000000931,3849080.198760000057518,0,0
123,124,u3, ,50,74,46,6,7,L,745,630, ,u3,shrub,622572.763500000000931,3849077.498759999871254,0,0
124,125,lar.tri, ,240,215,216,6,7,L,840,510, ,lar.tri,shrub,622573.713499999954365,3849076.298760000150651,0,0
125,0,ephedra, ,75,69,50,0,0, ,0,0, ,ephedra,shrub,622573.413500000024214,3849076.298760000150651,0,0
126,126,ephedra, ,31,29,30,6,7,L,985,530, ,ephedra,shrub,622575.163500000024214,3849076.498759999871254,0,0
127,127,eri.fas, ,15,21,20,6,7,L,990,600, ,eri.fas,shrub,622575.213499999954365,3849077.198760000057518,0,0
128,128,u3, ,55,59,43,6,7,L,955,275, ,u3,shrub,622574.863499999977648,3849073.948760000057518,0,0
129,129,men.spi?, ,28,40,18,6,7,L,910,110, ,men.spi,shrub,622574.413500000024214,3849072.298760000150651,0,0
130,130,u3, ,26,21,30,6,7,L,875,185, ,u3,shrub,622574.063500000047497,3849073.048760000150651,0,0
131,131,u3, ,35,33,30,6,7,L,785,125, ,u3,shrub,622573.163500000024214,3849072.448760000057518,0,0
132,132,cyl.ram, ,63,65,60,6,7,L,680,165, ,cyl.ram,cactus,622572.113499999977648,3849072.848759999964386,0,0
133,133,u3, ,30,40,54,6,7,L,620,60, ,u3,shrub,622571.513500000000931,3849071.798760000150651,0,0
134,134,u3, ,50,38,31,6,7,L,545,325, ,u3,shrub,622570.763500000000931,3849074.448760000057518,0,0
135,136,amb.sal, ,95,68,70,6,6,R,450,35, ,amb.sal,shrub,622559.813500000047497,3849081.548760000150651,0,0
136,137,ephedra, ,52,42,55,6,6,R,180,180, ,ephedra,shrub,622557.113499999977648,3849082.998759999871254,0,0
137,138,lar.tri, ,254,310,193,6,6,R,50,280, ,lar.tri,shrub,622555.813500000047497,3849083.998759999871254,0,0
138,139,u3, ,59,64,39,6,6,R,107,665, ,u3,shrub,622556.383499999996275,3849087.848759999964386,0,0
139,141,ephedra, ,84,94,52,6,6,R,40,765, ,ephedra,shrub,622555.713499999954365,3849088.848759999964386,0,0
140,142,ephedra, ,70,66,56,6,6,R,80,805, ,ephedra,shrub,622556.113499999977648,3849089.248759999871254,0,0
141,143,ephedra, ,40,46,33,6,6,R,10,890, ,ephedra,shrub,622555.413500000024214,3849090.098759999964386,0,0
142,144,U?, ,62,40,38,6,6,R,134,910,"toothed fuzzy leaves, large flower head",noID,shrub,622556.653500000014901,3849090.298760000150651,0,0
143,145,u3, ,27,50,34,6,6,R,220,785, ,u3,shrub,622557.513500000000931,3849089.048760000150651,0,0
144,146,lar.tri, ,270,310,157,6,6,R,490,1000, ,lar.tri,shrub,622560.213499999954365,3849091.198760000057518,0,0
145,147,u3, ,70,67,45,6,6,R,440,690, ,u3,shrub,622559.713499999954365,3849088.098759999964386,0,0
146,148,ephedra, ,53,52,51,6,6,R,650,810, ,ephedra,shrub,622561.813500000047497,3849089.298760000150651,0,0
147,149,u3, ,45,30,34,6,6,R,685,830, ,u3,shrub,622562.163500000024214,3849089.498759999871254,0,0
148,150,u3, ,23,21,20,6,6,R,765,525, ,u3,shrub,622562.967594000045210,3849086.442660000175238,0,0
149,151,u3, ,26,32,23,6,6,R,570,610, ,u3,shrub,622561.013500000000931,3849087.298760000150651,0,0
150,0,cyl.ech, ,0, ,0,0,0, ,0,0, ,cyl.ech,cactus,622561.013500000000931,3849087.298760000150651,0,0
151,0,cyl.ech, ,30,29,25,0,0, ,0,0, ,cyl.ech,cactus,622560.563500000047497,3849086.448760000057518,0,0
152,152,cyl.ech, ,23,21,20,6,6,R,765,525, ,cyl.ech,cactus,622561.013500000000931,3849087.298760000150651,0,0
153,153,ephedra, ,100,100,55,6,6,R,800,680, ,ephedra,shrub,622563.313500000047497,3849087.998759999871254,0,0
154,154,ephedra, ,60,55,50,6,6,R,750,680, ,ephedra,shrub,622562.813500000047497,3849087.998759999871254,0,0
155,155,u3, ,47,56,38,6,6,R,700,595, ,u3,shrub,622562.313500000047497,3849087.148759999778122,0,0
156,156,cyl.ech, ,25,26,46,6,6,R,690,595, ,cyl.ech,cactus,622562.213499999954365,3849087.148759999778122,0,0
157,157,lar.tri, ,376,272,165,6,6,R,750,305, ,lar.tri,shrub,622562.813500000047497,3849084.248759999871254,0,0
158,158,u3, ,50,43,44,6,6,R,605,150, ,u3,shrub,622561.363499999977648,3849082.698760000057518,0,0
159,159,u3, ,30,30,31,6,6,R,965,265, ,u3,shrub,622564.963499999954365,3849083.848759999964386,0,0
160,160,u3, ,20,18,29,6,6,R,885,75, ,u3,shrub,622564.163500000024214,3849081.948760000057518,0,0
161,161,ephedra, ,47,49,49,6,6,L,120,65, ,ephedra,shrub,622566.513500000000931,3849081.848759999964386,0,0
162,162,ephedra, ,35,53,50,6,6,L,155,70, ,ephedra,shrub,622566.863499999977648,3849081.898759999778122,0,0
163,163,ephedra, ,10,8,30,6,6,L,30,120, ,ephedra,shrub,622565.613499999977648,3849082.398759999778122,0,0
164,164,ephedra, ,30,32,32,6,6,L,205,190, ,ephedra,shrub,622567.363499999977648,3849083.098759999964386,0,0
165,165,ephedra, ,46,45,60,6,6,L,35,425, ,ephedra,shrub,622565.663500000024214,3849085.448760000057518,0,0
166,166,amb.sal, ,57,48,72,6,6,L,60,425, ,amb.sal,shrub,622565.913500000024214,3849085.448760000057518,0,0
167,167,u3, ,50,40,46,6,6,L,0,515, ,u3,shrub,622565.313500000047497,3849086.348759999964386,0,0
168,168,u3, ,34,55,45,6,6,L,230,515, ,u3,shrub,622567.613499999977648,3849086.348759999964386,0,0
169,169,PG, ,5,6,11,6,6,L,260,665,under dead shrub,PG,shrub,622567.913500000024214,3849087.848759999964386,0,0
170,170,PG, ,125,120,100,6,6,L,170,805, ,PG,shrub,622567.013500000000931,3849089.248759999871254,0,0
171,171,ephedra, ,175,138,52,6,6,L,610,870,ring formation,ephedra,shrub,622571.413500000024214,3849089.898759999778122,0,0
172,172,u3, ,22,30,29,6,6,L,560,915, ,u3,shrub,622570.913500000024214,3849090.348759999964386,0,0
173,173,u3, ,39,30,36,6,6,L,585,870,inside ephedra ring,u3,shrub,622571.163500000024214,3849089.898759999778122,0,0
174,174,cyl.ram, ,44,47,66,6,6,L,680,905, ,cyl.ram,cactus,622572.113499999977648,3849090.248759999871254,0,0
175,175,u3, ,30,20,36,6,6,L,680,855, ,u3,shrub,622572.113499999977648,3849089.748759999871254,0,0
176,176,eri.fas, ,34,24,36,6,6,L,680,970, ,eri.fas,shrub,622572.113499999977648,3849090.898759999778122,0,0
177,177,PG, ,100,109,71,6,6,L,730,950, ,PG,shrub,622572.613499999977648,3849090.698760000057518,0,0
178,178,PG, ,64,84,92,6,6,L,760,830, ,PG,shrub,622572.913500000024214,3849089.498759999871254,0,0
179,179,PG, ,132,137,107,6,6,L,920,930, ,PG,shrub,622574.513500000000931,3849090.498759999871254,0,0
180,180,ephedra, ,86,103,70,6,6,L,440,970, ,ephedra,shrub,622569.713499999954365,3849090.898759999778122,0,0
181,181,PG, ,87,74,38,6,6,L,730,615, ,PG,shrub,622572.613499999977648,3849087.348759999964386,0,0
182,182,u3, ,53,33,30,6,6,L,630,575, ,u3,shrub,622571.613499999977648,3849086.948760000057518,0,0
183,183,u3, ,72,66,35,6,6,L,560,630, ,u3,shrub,622570.913500000024214,3849087.498759999871254,0,0
184,184,eri.fas, ,18,18,20,6,6,L,755,655, ,eri.fas,shrub,622572.863499999977648,3849087.748759999871254,0,0
185,185,u3, ,44,55,35,6,6,L,570,540, ,u3,shrub,622571.045249999966472,3849085.736209999769926,0,0
186,186,amb.sal, ,120,92,66,6,6,L,1000,445, ,amb.sal,shrub,622575.313500000047497,3849085.648759999778122,0,0
187,187,tha.mon, ,64,53,39,6,6,L,1000,355, ,tha.mon,shrub,622575.313500000047497,3849084.748759999871254,0,0
188,188,ephedra, ,115,149,87,6,6,L,910,95, ,ephedra,shrub,622574.413500000024214,3849082.148759999778122,0,0
189,189,ephedra, ,122,117,87,6,6,L,845,150, ,ephedra,shrub,622573.763500000000931,3849082.698760000057518,0,0
190,190,lar.tri, ,70,59,60,6,6,L,710,145, ,lar.tri,shrub,622572.413500000024214,3849082.648759999778122,0,0
191,191,lar.tri, ,13,19,25,6,6,L,665,315,under dead shrub,lar.tri,shrub,622571.963499999954365,3849084.348759999964386,0,0
192,0,u3, ,30,27,26,0,0, ,0,0, ,u3,shrub,622570.713499999954365,3849084.048760000150651,0,0
193,192,eri.fas, ,95,46,49,6,6,L,565,135, ,eri.fas,shrub,622570.963499999954365,3849082.548760000150651,0,0
194,193,cyl.ech, ,33,40,46,6,6,L,550,85, ,cyl.ech,cactus,622570.813500000047497,3849082.048760000150651,0,0
195,194,eri.fas, ,25,22,45,6,6,L,435,285, ,eri.fas,shrub,622569.663500000024214,3849084.048760000150651,0,0
196,195,u3, ,56,33,42,6,5,R,350,155, ,u3,shrub,622558.813500000047497,3849092.748759999871254,0,0
197,196,eri.fas, ,26,28,26,6,5,R,265,235, ,eri.fas,shrub,622557.963499999954365,3849093.548760000150651,0,0
198,197,eri.fas, ,30,33,28,6,5,R,140,130, ,eri.fas,shrub,622556.713499999954365,3849092.498759999871254,0,0
199,198,ephedra, ,51,39,41,6,5,R,30,320, ,ephedra,shrub,622555.613499999977648,3849094.398759999778122,0,0
200,199,ephedra, ,89,87,57,6,5,R,0,420, ,ephedra,shrub,622555.313500000047497,3849095.398759999778122,0,0
201,200,cyl.aca, ,26,39,63,6,5,R,165,430, ,cyl.aca,cactus,622556.963499999954365,3849095.498759999871254,0,0
202,201,cyl.ech, ,29,28,25,6,5,R,45,870, ,cyl.ech,cactus,622555.827000000048429,3849096.691999999806285,0,0
203,202,eri.fas, ,67,65,50,6,5,R,95,905, ,eri.fas,shrub,622556.327000000048429,3849097.041999999899417,0,0
204,203,lar.tri, ,270,230,193,6,5,R,470,780, ,lar.tri,shrub,622560.077000000048429,3849095.791999999899417,0,0
205,204,ephedra, ,42,39,35,6,5,R,560,990, ,ephedra,shrub,622560.976999999955297,3849097.891999999992549,0,0
206,205,ephedra, ,130,96,55,6,5,R,750,760, ,ephedra,shrub,622562.876999999978580,3849095.592000000178814,0,0
207,206,lar.tri, ,318,336,185,6,5,R,865,725, ,lar.tri,shrub,622564.027000000001863,3849095.242000000085682,0,0
208,207,eri.fas, ,12,10,25,6,5,R,925,260, ,eri.fas,shrub,622564.563500000047497,3849093.798760000150651,0,0
209,208,ephedra, ,193,132,50,6,5,R,775,135,ring formation,ephedra,shrub,622564.201209999970160,3849092.522299999836832,0,0
210,209,cyl.ech, ,37,35,31,6,5,R,970,20, ,cyl.ech,cactus,622565.013500000000931,3849091.398759999778122,0,0
211,210,u3, ,40,37,50,6,5,R,730,80, ,u3,shrub,622562.613499999977648,3849091.998759999871254,0,0
212,211,ephedra, ,116,90,70,6,5,R,695,110, ,ephedra,shrub,622562.263500000000931,3849092.298760000150651,0,0
213,212,u3, ,42,37,37,6,5,R,655,60, ,u3,shrub,622561.863499999977648,3849091.798760000150651,0,0
214,213,u3, ,70,53,39,6,5,L,270,0, ,u3,shrub,622568.013500000000931,3849091.198760000057518,0,0
215,214,PG, ,85,90,73,6,5,L,240,95, ,PG,shrub,622567.713499999954365,3849092.148759999778122,0,0
216,215,amb.sal, ,70,80,60,6,5,L,340,35, ,amb.sal,shrub,622568.713499999954365,3849091.548760000150651,0,0
217,216,u3, ,33,37,33,6,5,L,60,960, ,u3,shrub,622566.029916999978013,3849098.081480000168085,0,0
218,217,eri.fas, ,19,20,40,6,5,L,240,900, ,eri.fas,shrub,622567.777000000001863,3849096.992000000085682,0,0
219,218,cyl.ech, ,23,28,49,6,5,L,480,740, ,cyl.ech,cactus,622570.177000000025146,3849095.391999999992549,0,0
220,219,u3, ,49,28,34,6,5,L,395,665, ,u3,shrub,622569.327000000048429,3849094.641999999992549,0,0
221,220,u3, ,30,40,26,6,5,L,495,780, ,u3,shrub,622570.327000000048429,3849095.791999999899417,0,0
222,221,cyl.ram, ,18,8,10,6,5,L,485,740, ,cyl.ram,cactus,622570.226999999955297,3849095.391999999992549,0,0
223,222,eri.fas, ,10,7,8,6,5,L,515,780,sample,eri.fas,shrub,622570.527000000001863,3849095.791999999899417,0,0
224,223,amb.sal, ,44,58,60,6,5,L,565,975, ,amb.sal,shrub,622571.027000000001863,3849097.742000000085682,0,0
225,224,PG, ,67,113,60,6,5,L,590,960, ,PG,shrub,622571.277000000001863,3849097.592000000178814,0,0
226,225,u3, ,33,27,35,6,5,L,630,950, ,u3,shrub,622571.677000000025146,3849097.492000000085682,0,0
227,226,u3, ,20,20,30,6,5,L,605,950, ,u3,shrub,622571.427000000025146,3849097.492000000085682,0,0
228,227,u3, ,46,30,38,6,5,L,710,870, ,u3,shrub,622572.476999999955297,3849096.691999999806285,0,0
