FID,Species,ID,Transect,QN,QL,Width,Length,Height,Notes,sp_simp,Type,easting,northing,,,,,,,
20,cyl.ech,21,5,8,R,65,64,50, ,cyl.ech,cactus,622544.70,3849145.60,,,,,,,
21,u3,22,5,8,R,45,33,30, ,u3,shrub,622543.90,3849145.05,,,,,,,
22,lar.tri,23,5,8,R,350,468,254, ,lar.tri,shrub,622547.20,3849145.10,,,,,,,
23,u3,24,5,8,R,38,43,30, ,u3,shrub,622548.25,3849143.10,,,,,,,
24,u3,25,5,8,R,23,34,17, ,u3,shrub,622548.05,3849143.65,,,,,,,
25,ephedra,26,5,8,R,100,64,53, ,ephedra,shrub,622549.30,3849142.25,,,,,,,
26,cyl.ech,27,5,8,R,40,34,55, ,cyl.ech,cactus,622549.20,3849142.05,,,,,,,
27,u3,28,5,8,R,25,14,44, ,u3,shrub,622548.05,3849141.90,,,,,,,
28,dense.u3,29,5,8,R,50,32,50,looks like u3 but more dense,dense.u3,shrub,622548.25,3849141.30,,,,,,,
29,u3,30,5,8,R,40,37,41, ,u3,shrub,622547.10,3849140.90,,,,,,,
30,u3,31,5,8,R,68,62,42, ,u3,shrub,622547.15,3849140.30,,,,,,,
31,u3,32,5,8,R,45,27,50, ,u3,shrub,622547.15,3849139.60,,,,,,,
32,tha.mon,33,5,8,R,69,55,34, ,tha.mon,shrub,622549.00,3849138.70,,,,,,,
33,cyl.ram,34,5,8,R,9,5,26, ,cyl.ram,cactus,622549.05,3849138.65,,,,,,,
34,lar.tri,35,5,8,R,340,420,230, ,lar.tri,shrub,622548.20,3849138.10,,,,,,,
35,ephedra,36,5,8,R,105,110,70, ,ephedra,shrub,622548.20,3849138.10,,,,,,,
36,u3,37,5,8,R,64,30,18, ,u3,shrub,622548.65,3849138.85,,,,,,,
37,u3,38,5,8,R,29,34,45, ,u3,shrub,622545.50,3849137.75,,,,,,,
38,yuc.sch,39,5,8,R,66,63,65, ,yuc.sch,yucca,622545.20,3849136.70,,,,,,,
39,men.spi,40,5,8,R,25,25,18, ,men.spi,shrub,622545.10,3849139.35,,,,,,,
40,u3,41,5,8,R,68,56,35,*may be in T6,u3,shrub,622544.05,3849136.70,,,,,,,
42,eri.fas,43,5,8,L,57,38,32, ,eri.fas,shrub,622553.25,3849139.90,,,,,,,
43,ephedra,44,5,8,L,104,72,70, ,ephedra,shrub,622551.65,3849138.05,,,,,,,
44,tha.mon,45,5,8,L,82,55,46, ,tha.mon,shrub,622551.65,3849138.35,,,,,,,
45,ephedra,46,5,8,L,84,47,41, ,ephedra,shrub,622552.10,3849139.55,,,,,,,
46,ephedra,47,5,8,L,80,82,50, ,ephedra,shrub,622549.85,3849140.60,,,,,,,
47,ephedra,48,5,8,L,135,105,75, ,ephedra,shrub,622549.55,3849143.00,,,,,,,
48,cyl.ech,49,5,8,L,19,17,43, ,cyl.ech,cactus,622550.00,3849143.15,,,,,,,
49,u3,50,5,8,L,72,33,59, ,u3,shrub,622549.85,3849143.55,,,,,,,
50,u3,51,5,8,L,39,43,31, ,u3,shrub,622550.25,3849144.40,,,,,,,
51,u3,52,5,8,L,29,25,42, ,u3,shrub,622550.30,3849145.35,,,,,,,
52,yuc.sch,53,5,8,L,220,180,175, ,yuc.sch,yucca,622551.25,3849145.45,,,,,,,
53,u3,54,5,8,L,23,36,36, ,u3,shrub,622549.60,3849146.00,,,,,,,
54,u3,55,5,8,L,45,53,30, ,u3,shrub,622549.90,3849146.05,,,,,,,
55,u3,56,5,8,L,45,30,33, ,u3,shrub,622552.00,3849146.15,,,,,,,
56,u3,57,5,8,L,46,46,40, ,u3,shrub,622552.35,3849145.35,,,,,,,
57,u3,58,5,8,L,46,61,50, ,u3,shrub,622552.85,3849144.75,,,,,,,
58,u3,59,5,8,L,60,43,43, ,u3,shrub,622553.05,3849145.50,,,,,,,
59,u3,60,5,8,L,70,55,52, ,u3,shrub,622555.50,3849144.90,,,,,,,
,u4,,,,,40,30,40,,u4,shrub,622555.50,3849143.75,,,,,,,
60,u3,61,5,8,L,15,29,33, ,u3,shrub,622553.00,3849145.70,,,,,,,
61,lar.tri,62,5,8,L,375,277,185, ,lar.tri,shrub,622554.45,3849143.25,,,,,,,
62,amb.sal,63,5,8,L,57,56,44, ,amb.sal,shrub,622556.80,3849145.15,,,,,,,
63,u3,64,5,8,L,50,56,44, ,u3,shrub,622557.25,3849146.50,,,,,,,
64,tha.mon,65,5,8,L,57,40,34, ,tha.mon,shrub,622557.75,3849145.75,,,,,,,
65,u3,66,5,8,L,58,62,35, ,u3,shrub,622558.50,3849143.65,,,,,,,
66,men.spi,67,5,8,L,35,23,24, ,men.spi,shrub,622556.55,3849142.35,,,,,,,
67,ephedra,68,5,8,L,84,120,69, ,ephedra,shrub,622558.65,3849140.55,,,,,,,
68,ephedra,69,5,8,L,73,45,44, ,ephedra,shrub,622559.00,3849139.05,,,,,,,
69,ephedra,70,5,8,L,79,76,52, ,ephedra,shrub,622559.40,3849139.45,,,,,,,
70,ephedra,71,5,8,L,123,100,52, ,ephedra,shrub,622557.65,3849139.85,,,,,,,
71,u3,72,5,8,L,74,60,43, ,u3,shrub,622559.20,3849138.05,,,,,,,
72,lar.tri,73,5,8,L,68,74,68, ,lar.tri,shrub,622557.35,3849137.75,,,,,,,
73,tha.mon,74,5,8,L,53,64,42, ,tha.mon,shrub,622557.15,3849138.80,,,,,,,
74,u3,75,5,8,L,48,26,30, ,u3,shrub,622556.95,3849138.80,,,,,,,
75,tha.mon,76,5,8,L,67,50,40, ,tha.mon,shrub,622556.60,3849138.00,,,,,,,
76,tha.mon,77,5,8,L,80,55,48, ,tha.mon,shrub,622555.60,3849136.95,,,,,,,
78,amb.sal,79,5,7,R,45,57,53, ,amb.sal,shrub,622542.15,3849147.45,,,,,,,
79,PG,80,5,7,R,135,97,78, ,PG,shrub,622540.85,3849147.15,,,,,,,
80,tha.mon,81,5,7,R,35,25,45,,tha.mon,shrub,622543.95,3849146.90,,,,,,,
81,sal.mex,82,5,7,R,43,31,47,,sal.mex,shrub,622543.55,3849146.95,,,,,,,
82,cyl.ech,83,5,7,R,25,31,36, ,cyl.ech,cactus,622542.25,3849147.80,,,,,,,
83,amb.sal,84,5,7,R,26,18,35, ,amb.sal,shrub,622541.15,3849146.70,,,,,,,
84,amb.sal,85,5,7,R,130,115,67, ,amb.sal,shrub,622540.50,3849148.30,,,,,,,
85,u3,86,5,7,R,36,43,34, ,u3,shrub,622542.70,3849149.90,,,,,,,
86,u3,87,5,7,R,22,35,28, ,u3,shrub,622541.95,3849150.90,,,,,,,
87,u3,88,5,7,R,40,29,39, ,u3,shrub,622541.85,3849149.80,,,,,,,
88,u3,89,5,7,R,45,24,43, ,u3,shrub,622541.75,3849149.55,,,,,,,
89,u3,90,5,7,R,45,24,43, ,u3,shrub,622541.45,3849149.55,,,,,,,
90,amb.sal,91,5,7,R,94,74,73, ,amb.sal,shrub,622540.90,3849150.15,,,,,,,
91,u3,92,5,7,R,37,30,39, ,u3,shrub,622540.90,3849149.55,,,,,,,
92,u3,93,5,7,R,58,45,45, ,u3,shrub,622540.35,3849150.05,,,,,,,
93,u3,94,5,7,R,47,32,27, ,u3,shrub,622539.80,3849150.05,,,,,,,
94,u3,95,5,7,R,30,34,35, ,u3,shrub,622541.25,3849151.80,,,,,,,
95,u3,96,5,7,R,40,26,24, ,u3,shrub,622541.00,3849152.20,,,,,,,
96,men.spi,97,5,7,R,78,78,53, ,men.spi,shrub,622542.40,3849152.65,,,,,,,
97,amb.sal,98,5,7,R,70,48,443, ,amb.sal,shrub,622540.10,3849152.60,,,,,,,
98,u3,99,5,7,R,45,49,43, ,u3,shrub,622541.55,3849153.15,,,,,,,
99,ephedra,100,5,7,R,147,124,62, ,ephedra,shrub,622541.60,3849153.75,,,,,,,
100,tha.mon,101,5,7,R,89,68,30, ,tha.mon,shrub,622540.20,3849155.70,,,,,,,
101,cyl.ram,102,5,7,R,18,11,24, ,cyl.ram,cactus,622540.05,3849155.95,,,,,,,
102,tha.mon,103,5,7,R,85,58,38, ,tha.mon,shrub,622541.15,3849156.40,,,,,,,
103,amb.sal,104,5,7,R,115,104,66, ,amb.sal,shrub,622542.55,3849156.15,,,,,,,
104,u3,105,5,7,R,42,48,43, ,u3,shrub,622544.10,3849156.25,,,,,,,
105,cyl.ram,106,5,7,R,16,10,30, ,cyl.ram,cactus,622545.60,3849154.50,,,,,,,
106,ephedra,107,5,7,R,90,60,60, ,ephedra,shrub,622546.10,3849156.45,,,,,,,
107,ephedra,108,5,7,R,125,115,62, ,ephedra,shrub,622546.60,3849154.60,,,,,,,
108,u3,109,5,7,R,90,47,32, ,u3,shrub,622547.30,3849154.85,,,,,,,
109,u3,110,5,7,R,90,50,57, ,u3,shrub,622544.65,3849152.15,,,,,,,
110,lar.tri,L125,5,7,R,470,419,208, ,lar.tri,shrub,622545.25,3849150.70,,,,,,,
111,u3,111,5,7,R,47,21,46, ,u3,shrub,622546.65,3849152.30,,,,,,,
112,u3,112,5,7,R,44,39,43, ,u3,shrub,622546.15,3849151.90,,,,,,,
113,tha.mon,113,5,7,R,84,75,42, ,tha.mon,shrub,622549.55,3849152.30,,,,,,,
114,cyl.ram,114,5,7,R,123,130,122, ,cyl.ram,cactus,622547.65,3849150.35,,,,,,,
115,u3,115,5,7,R,41,26,34, ,u3,shrub,622548.45,3849148.70,,,,,,,
116,u3,116,5,7,R,38,30,49, ,u3,shrub,622548.50,3849147.05,,,,,,,
117,u3,117,5,7,R,17,40,25, ,u3,shrub,622547.50,3849151.20,,,,,,,
118,amb.dum,118,5,7,R,50,36,38,AMDD?!?,amb.dum,shrub,622547.30,3849147.10,,,,,,,
119,tha.mon,119,5,7,R,70,68,45, ,tha.mon,shrub,622546.70,3849147.40,,,,,,,
120,u3,120,5,7,L,38,31,35, ,u3,shrub,622552.60,3849150.25,,,,,,,
121,u3,121,5,7,L,38,39,30, ,u3,shrub,622551.65,3849150.60,,,,,,,
122,u3,122,5,7,L,46,32,40, ,u3,shrub,622550.50,3849150.05,,,,,,,
123,eri.fas,123,5,7,L,38,36,34,red stemmed,eri.fas,shrub,622550.15,3849150.55,,,,,,,
124,cyl.ram,124,5,7,L,10,8,6, ,cyl.ram,cactus,622551.25,3849149.50,,,,,,,
125,eri.fas,125,5,7,L,16,34,15, ,eri.fas,shrub,622551.70,3849153.95,,,,,,,
126,ephedra,126,5,7,L,194,150,65, ,ephedra,shrub,622550.25,3849155.90,,,,,,,
127,dense.u3,127,5,7,L,76,71,47,looks like u3 but more dense,dense.u3,shrub,622551.75,3849156.70,,,,,,,
128,u3,128,5,7,L,32,23,35, ,u3,shrub,622552.20,3849156.35,,,,,,,
129,u3,129,5,7,L,18,36,30, ,u3,shrub,622553.55,3849154.75,,,,,,,
130,tha.mon,130,5,7,L,80,77,42, ,tha.mon,shrub,622554.85,3849154.40,,,,,,,
131,lar.tri,131,5,7,L,290,190,235, ,lar.tri,shrub,622558.05,3849155.50,,,,,,,
132,lar.tri,L124,5,7,L,310,300,185, ,lar.tri,shrub,622554.85,3849153.10,,,,,,,
133,cyl.ram,132,5,7,L,108,79,75, ,cyl.ram,cactus,622557.35,3849152.95,,,,,,,
134,ephedra,133,5,7,L,98,46,42, ,ephedra,shrub,622557.30,3849152.85,,,,,,,
135,u3,134,5,7,L,45,37,38, ,u3,shrub,622558.55,3849152.25,,,,,,,
136,u3,135,5,7,L,36,56,42, ,u3,shrub,622558.95,3849150.65,,,,,,,
137,u3,136,5,7,L,66,72,56, ,u3,shrub,622558.50,3849149.30,,,,,,,
138,u3,137,5,7,L,39,25,36, ,u3,shrub,622558.90,3849149.00,,,,,,,
139,u3,138,5,7,L,86,73,46, ,u3,shrub,622559.40,3849148.90,,,,,,,
140,ephedra,139,5,7,L,46,56,43, ,ephedra,shrub,622559.05,3849148.05,,,,,,,
141,u3,140,5,7,L,15,26,32, ,u3,shrub,622557.60,3849148.35,,,,,,,
142,yuc.sch,141,5,7,L,122,119,132, ,yuc.sch,yucca,622555.30,3849147.30,,,,,,,
143,ephedra,142,5,7,L,149,137,66, ,ephedra,shrub,622555.50,3849147.55,,,,,,,
144,ephedra,143,5,7,L,123,150,47, ,ephedra,shrub,622555.85,3849151.00,,,,,,,
145,u3,144,5,7,L,44,30,38, ,u3,shrub,622555.50,3849149.80,,,,,,,
146,cyl.ram,145,5,7,L,87,67,68, ,cyl.ram,cactus,622554.95,3849150.90,,,,,,,
147,u3,146,5,7,L,18,10,28,inside dead shrub,u3,shrub,622555.30,3849148.35,,,,,,,
148,amb.sal,147,5,7,L,69,60,53, ,amb.sal,shrub,622554.10,3849149.40,,,,,,,
149,u3,148,5,6,R,63,47,55, ,u3,shrub,622544.50,3849157.55,,,,,,,
150,u3,149,5,6,R,41,29,36, ,u3,shrub,622544.35,3849159.55,,,,,,,
151,u3,150,5,6,R,90,60,44, ,u3,shrub,622544.15,3849158.90,,,,,,,
152,u3,151,5,6,R,65,36,43, ,u3,shrub,622543.75,3849159.85,,,,,,,
153,cyl.ech,152,5,6,R,34,23,33, ,cyl.ech,cactus,622543.75,3849160.00,,,,,,,
154,u3,153,5,6,R,53,39,33, ,u3,shrub,622542.15,3849157.15,,,,,,,
155,u3,154,5,6,R,30,38,45, ,u3,shrub,622541.85,3849159.60,,,,,,,
156,u3,155,5,6,R,53,42,43, ,u3,shrub,622541.15,3849156.90,,,,,,,
157,u3,156,5,6,R,64,38,36, ,u3,shrub,622540.70,3849157.05,,,,,,,
158,u3,157,5,6,R,39,21,31, ,u3,shrub,622540.10,3849157.15,,,,,,,
159,lar.tri,158,5,6,R,28,22,23, ,lar.tri,shrub,622540.35,3849157.50,,,,,,,
160,cyl.ram,159,5,6,R,38,42,53, ,cyl.ram,cactus,622540.20,3849157.90,,,,,,,
161,u3,160,5,6,R,64,32,46, ,u3,shrub,622540.30,3849157.75,,,,,,,
162,amb.sal,161,5,6,R,86,53,79, ,amb.sal,shrub,622540.55,3849158.55,,,,,,,
163,u3,162,5,6,R,48,34,42, ,u3,shrub,622540.65,3849159.30,,,,,,,
164,u3,163,5,6,R,36,30,44, ,u3,shrub,622541.65,3849159.45,,,,,,,
165,ephedra,164,5,6,R,40,49,37, ,ephedra,shrub,622539.70,3849160.05,,,,,,,
166,yuc.sch,165,5,6,R,170,174,151, ,yuc.sch,yucca,622541.85,3849163.00,,,,,,,
167,u3,166,5,6,R,45,42,45, ,u3,shrub,622540.85,3849163.70,,,,,,,
168,u3,167,5,6,R,69,41,52, ,u3,shrub,622540.05,3849164.40,,,,,,,
169,u3,168,5,6,R,42,48,40, ,u3,shrub,622542.40,3849164.05,,,,,,,
170,u3,169,5,6,R,35,30,26, ,u3,shrub,622543.05,3849162.70,,,,,,,
171,ephedra,170,5,6,R,132,108,60, ,ephedra,shrub,622543.35,3849163.90,,,,,,,
172,lar.tri,L126,5,6,R,370,219,225, ,lar.tri,shrub,622544.50,3849164.10,,,,,,,
173,lar.tri,L127,5,6,R,525,446,196, ,lar.tri,shrub,622545.25,3849166.70,,,,,,,
174,u3,171,5,6,R,78,47,39, ,u3,shrub,622547.50,3849164.90,,,,,,,
175,u3,172,5,6,R,32,41,34, ,u3,shrub,622548.15,3849166.70,,,,,,,
176,u3,173,5,6,R,19,17,23, ,u3,shrub,622548.45,3849166.35,,,,,,,
177,ephedra,174,5,6,R,74,83,66, ,ephedra,shrub,622549.45,3849166.05,,,,,,,
178,ephedra,175,5,6,R,73,50,41, ,ephedra,shrub,622547.25,3849165.15,,,,,,,
179,ephedra,176,5,6,R,61,60,45, ,ephedra,shrub,622548.00,3849164.90,,,,,,,
180,u3,177,5,6,R,49,46,47, ,u3,shrub,622547.55,3849164.60,,,,,,,
181,u3,178,5,6,R,31,35,40, ,u3,shrub,622548.70,3849161.15,,,,,,,
182,u3,179,5,6,R,65,64,38, ,u3,shrub,622549.20,3849160.55,,,,,,,
183,u3,180,5,6,R,18,18,17, ,u3,shrub,622548.85,3849160.25,,,,,,,
184,amb.sal,181,5,6,R,97,82,67, ,amb.sal,shrub,622547.55,3849159.75,,,,,,,
185,u3,182,5,6,R,42,40,46, ,u3,shrub,622548.10,3849159.75,,,,,,,
186,u3,183,5,6,R,35,66,48, ,u3,shrub,622547.90,3849157.20,,,,,,,
187,ephedra,184,5,6,R,138,128,60, ,ephedra,shrub,622548.65,3849157.20,,,,,,,
188,u3,185,5,6,R,48,44,38, ,u3,shrub,622548.35,3849158.15,,,,,,,
189,u3,186,5,6,R,80,80,65, ,u3,shrub,622545.65,3849160.25,,,,,,,
190,u3,187,5,6,R,46,48,47, ,u3,shrub,622546.10,3849160.30,,,,,,,
191,u3,188,5,6,R,45,45,40, ,u3,shrub,622545.50,3849158.60,,,,,,,
192,dense.u3,189,5,6,L,80,77,42,looks like u3 but more dense,dense.u3,shrub,622551.60,3849156.70,,,,,,,
193,ephedra,190,5,6,L,137,115,75, ,ephedra,shrub,622553.55,3849157.80,,,,,,,
194,u3,191,5,6,L,49,40,38, ,u3,shrub,622552.30,3849159.30,,,,,,,
195,u3,192,5,6,L,36,18,20, ,u3,shrub,622549.95,3849160.15,,,,,,,
196,lar.tri,L123,5,6,L,287,194,185, ,lar.tri,shrub,622551.15,3849161.55,,,,,,,
197,yuc.sch,193,5,6,L,319,312,240, ,yuc.sch,yucca,622551.15,3849163.25,,,,,,,
198,ephedra,194,5,6,L,67,36,30, ,ephedra,shrub,622551.95,3849163.95,,,,,,,
199,u3,195,5,6,L,50,49,40, ,u3,shrub,622551.05,3849164.70,,,,,,,
200,u3,196,5,6,L,53,31,43, ,u3,shrub,622549.80,3849164.90,,,,,,,
201,u3,197,5,6,L,57,35,40, ,u3,shrub,622550.95,3849165.30,,,,,,,
202,u3,198,5,6,L,66,27,44, ,u3,shrub,622549.85,3849166.35,,,,,,,
203,ephedra,199,5,6,L,134,118,76, ,ephedra,shrub,622552.40,3849166.30,,,,,,,
204,tha.mon,200,5,6,L,61,36,59, ,tha.mon,shrub,622552.70,3849166.10,,,,,,,
205,u3,201,5,6,L,72,69,46, ,u3,shrub,622553.10,3849165.10,,,,,,,
206,lar.tri,L122,5,6,L,438,520,258, ,lar.tri,shrub,622555.60,3849165.50,,,,,,,
207,amb.sal,202,5,6,L,29,34,47, ,amb.sal,shrub,622558.40,3849166.40,,,,,,,
208,u3,203,5,6,L,60,49,47, ,u3,shrub,622559.10,3849164.15,,,,,,,
209,amb.sal,204,5,6,L,72,47,53, ,amb.sal,shrub,622559.20,3849163.60,,,,,,,
210,u3,205,5,6,L,38,36,27, ,u3,shrub,622558.50,3849162.30,,,,,,,
211,yuc.sch,206,5,6,L,290,264,297, ,yuc.sch,yucca,622557.45,3849160.90,,,,,,,
212,amb.sal,207,5,6,L,89,91,66, ,amb.sal,shrub,622558.20,3849159.95,,,,,,,
213,u3,208,5,6,L,47,33,29, ,u3,shrub,622558.50,3849159.10,,,,,,,
214,u3,209,5,6,L,47,33,38, ,u3,shrub,622557.90,3849158.65,,,,,,,
215,u3,210,5,6,L,76,45,38, ,u3,shrub,622555.05,3849161.40,,,,,,,
216,u3,211,5,6,L,50,30,47, ,u3,shrub,622555.80,3849161.40,,,,,,,
217,u3,212,5,6,L,49,64,54, ,u3,shrub,622556.15,3849162.00,,,,,,,
218,u3,213,5,6,L,54,32,40, ,u3,shrub,622555.45,3849160.65,,,,,,,
219,u3,214,5,6,L,14,13,31, ,u3,shrub,622555.50,3849159.75,,,,,,,
220,men.spi,215,5,6,L,71,57,49, ,men.spi,shrub,622554.95,3849159.90,,,,,,,
221,tha.mon,216,5,6,L,46,47,35, ,tha.mon,shrub,622556.35,3849156.85,,,,,,,
222,u3,217,5,6,L,75,55,45, ,u3,shrub,622556.05,3849157.10,,,,,,,
223,cyl.ech,218,5,6,L,28,27,35, ,cyl.ech,cactus,622555.55,3849158.70,,,,,,,
224,amb.sal,219,5,6,L,62,51,40, ,amb.sal,shrub,622554.70,3849157.70,,,,,,,
225,tha.mon,220,5,5,R,79,106,44, ,tha.mon,shrub,622541.50,3849168.20,,,,,,,
226,u3,221,5,5,R,55,58,46, ,u3,shrub,622542.60,3849166.75,,,,,,,
227,u3,222,5,5,R,55,47,28, ,u3,shrub,622542.30,3849169.00,,,,,,,
228,ephedra,223,5,5,R,117,107,55, ,ephedra,shrub,622542.40,3849171.05,,,,,,,
229,amb.dum,224,5,5,R,75,81,49, ,amb.dum,shrub,622544.35,3849170.75,,,,,,,
230,ephedra,225,5,5,R,144,105,70, ,ephedra,shrub,622545.40,3849171.85,,,,,,,
231,u3,226,5,5,R,65,45,56, ,u3,shrub,622544.90,3849172.70,,,,,,,
232,cyl.ram,227,5,5,R,120,92,100, ,cyl.ram,cactus,622544.90,3849174.00,,,,,,,
233,dense.u3,228,5,5,R,43,54,35, ,dense.u3,shrub,622540.40,3849171.70,,,,,,,
234,amb.sal,229,5,5,R,85,96,80, ,amb.sal,shrub,622542.55,3849172.45,,,,,,,
235,lar.tri,230,5,5,R,413,290,246, ,lar.tri,shrub,622540.65,3849175.10,,,,,,,
236,ephedra,231,5,5,R,82,66,61, ,ephedra,shrub,622542.85,3849175.10,,,,,,,
237,ephedra,232,5,5,R,74,45,58, ,ephedra,shrub,622542.95,3849175.70,,,,,,,
238,cyl.ram,233,5,5,R,47,37,47, ,cyl.ram,cactus,622548.00,3849170.20,,,,,,,
239,ephedra,234,5,5,R,136,115,56, ,ephedra,shrub,622548.85,3849170.40,,,,,,,
240,lar.tri,L128,5,5,R,183,132,122, ,lar.tri,shrub,622548.45,3849167.30,,,,,,,
241,u3,235,5,5,R,98,62,55,under larrea,u3,shrub,622548.60,3849167.15,,,,,,,
242,tha.mon,236,5,5,L,79,65,46, ,tha.mon,shrub,622555.05,3849166.90,,,,,,,
243,u3,237,5,5,L,31,32,33, ,u3,shrub,622554.75,3849167.20,,,,,,,
244,ephedra,238,5,5,L,77,62,53, ,ephedra,shrub,622554.20,3849168.20,,,,,,,
245,cyl.ech,239,5,5,L,30,19,30, ,cyl.ech,cactus,622553.70,3849169.15,,,,,,,
246,u3,240,5,5,L,48,47,46, ,u3,shrub,622553.40,3849167.15,,,,,,,
247,u3,241,5,5,L,31,26,35, ,u3,shrub,622552.65,3849167.00,,,,,,,
248,u3,242,5,5,L,38,40,42, ,u3,shrub,622553.00,3849169.75,,,,,,,
,u3,,,,,47,43,42,,u4,shrub,622552.55,3849169.75,,,,,,,
249,men.spi,243,5,5,L,56,31,31, ,men.spi,shrub,622552.90,3849168.80,,,,,,,
250,u3,244,5,5,L,45,52,45, ,u3,shrub,622552.25,3849168.20,,,,,,,
251,ephedra,245,5,5,L,77,59,62, ,ephedra,shrub,622550.90,3849167.05,,,,,,,
252,u3,246,5,5,L,57,51,41, ,u3,shrub,622550.90,3849167.30,,,,,,,
253,u3,247,5,5,L,55,36,53, ,u3,shrub,622549.75,3849168.30,,,,,,,
254,ephedra,248,5,5,L,106,82,60, ,ephedra,shrub,622551.45,3849168.90,,,,,,,
255,lar.tri,L122,5,5,L,438,520,258, ,lar.tri,shrub,622550.85,3849170.80,,,,,,,
,u3,,,,,24,13,30,,u3,shrub,622551.60,3849170.50,,,,,,,
256,u3,249,5,5,L,49,60,45, ,u3,shrub,622549.90,3849172.30,,,,,,,
257,u3,250,5,5,L,53,40,50, ,u3,shrub,622550.90,3849171.85,,,,,,,
258,ephedra,251,5,5,L,50,73,48, ,ephedra,shrub,622552.10,3849173.10,,,,,,,
259,u3,252,5,5,L,60,50,29, ,u3,shrub,622552.95,3849171.90,,,,,,,
260,u3,253,5,5,L,60,62,43, ,u3,shrub,622553.65,3849172.20,,,,,,,
261,men.spi,254,5,5,L,62,35,30, ,men.spi,shrub,622551.20,3849171.55,,,,,,,
262,ephedra,255,5,5,L,124,88,57, ,ephedra,shrub,622550.65,3849176.20,,,,,,,
263,u3,256,5,5,L,47,51,56, ,u3,shrub,622551.50,3849175.85,,,,,,,
264,amb.sal,257,5,5,L,51,30,59, ,amb.sal,shrub,622551.90,3849176.50,,,,,,,
265,u3,258,5,5,L,51,30,59, ,u3,shrub,622552.05,3849176.50,,,,,,,
266,u3,259,5,5,L,28,24,30, ,u3,shrub,622552.80,3849175.90,,,,,,,
267,PG,260,5,5,L,109,71,75, ,PG,shrub,622554.40,3849175.20,,,,,,,
268,yuc.sch,261,5,5,L,258,212,240, ,yuc.sch,yucca,622555.85,3849174.20,,,,,,,
269,u3,262,5,5,L,45,40,40, ,u3,shrub,622556.80,3849176.40,,,,,,,
270,men.spi,263,5,5,L,86,90,46, ,men.spi,shrub,622557.20,3849174.60,,,,,,,
271,u3,264,5,5,L,66,68,50, ,u3,shrub,622558.05,3849174.70,,,,,,,
272,ephedra,265,5,5,L,104,60,50, ,ephedra,shrub,622559.10,3849175.85,,,,,,,
273,dense.u3,266,5,5,L,36,30,28, ,dense.u3,shrub,622559.25,3849175.40,,,,,,,
274,ephedra,267,5,5,L,112,70,60, ,ephedra,shrub,622556.45,3849173.20,,,,,,,
275,?,268,5,5,L,8,8,6, ,noID,shrub,622558.85,3849171.65,,,,,,,
276,ephedra,269,5,5,L,107,92,60, ,ephedra,shrub,622556.75,3849171.45,,,,,,,
277,ephedra,270,5,5,L,112,60,56, ,ephedra,shrub,622557.45,3849170.80,,,,,,,
278,amb.sal,271,5,5,L,47,38,44, ,amb.sal,shrub,622556.65,3849170.55,,,,,,,
279,cyl.ram,272,5,5,L,103,89,85, ,cyl.ram,cactus,622559.15,3849170.45,,,,,,,
280,tha.mon,273,5,5,L,80,70,40, ,tha.mon,shrub,622559.20,3849168.45,,,,,,,
