FID,FID_,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,ID,MapID,buff
350,353,amb.sal, ,71,88,54,6,2,R,275,135, ,amb.sal,shrub,622558.127,3849120.942,0,0,0.355
351,354,amb.sal, ,33,63,41,6,2,R,170,130, ,amb.sal,shrub,622557.077,3849120.892,0,0,0.165
352,355,amb.sal, ,50,54,70,6,2,R,0,180, ,amb.sal,shrub,622555.377,3849121.392,0,0,0.25
356,359,amb.sal, ,37,30,38,6,2,R,425,200,started at bottom again,amb.sal,shrub,622559.627,3849121.592,0,0,0.185
370,373,amb.sal, ,49,34,69,6,2,R,635,1125, ,amb.sal,shrub,622559.927,3849129.892,0,0,0.245
371,374,amb.sal, ,50,55,50,6,2,R,710,1040, ,amb.sal,shrub,622562.477,3849129.992,0,0,0.25
372,375,amb.sal, ,40,35,73,6,2,R,730,930,all cluster,amb.sal,shrub,622562.677,3849128.892,0,0,0.2
373,376,amb.sal, ,26,23,50,6,2,R,750,950,all cluster,amb.sal,shrub,622562.877,3849129.092,0,0,0.13
375,378,amb.sal, ,30,38,47,6,2,R,760,930,all cluster,amb.sal,shrub,622562.977,3849128.892,0,0,0.15
378,383,amb.sal, ,64,46,50,6,2,L,915,430, ,amb.sal,shrub,622564.2082,3849124.858,0,0,0.32
388,393,amb.sal, ,64,60,45,6,2,L,180,832, ,amb.sal,shrub,622567.177,3849127.912,0,0,0.32
392,397,amb.sal, ,54,38,42,6,2,L,55,935, ,amb.sal,shrub,622565.927,3849128.942,0,0,0.27
409,415,amb.sal, ,55,55,45,6,1,R,130,340, ,amb.sal,shrub,622556.677,3849132.992,0,0,0.275
410,416,amb.sal, ,55,65,60,6,1,R,106,435, ,amb.sal,shrub,622556.437,3849133.942,0,0,0.275
419,425,amb.sal, ,107,95,60,6,1,R,10,950, ,amb.sal,shrub,622555.477,3849139.092,0,0,0.535
431,437,amb.sal, ,36,30,48,6,1,R,665,385, ,amb.sal,shrub,622562.027,3849133.442,0,0,0.18
445,450,amb.sal, ,47,33,44,6,1,L,395,765, ,amb.sal,shrub,622569.327,3849137.242,0,0,0.235
447,452,amb.sal, ,40,63,52,6,1,L,555,900, ,amb.sal,shrub,622570.927,3849138.592,0,0,0.2
477,3,amb.sal, ,73,67,57,5,8,R,0,0, ,amb.sal,shrub,622541.978,3849141.251,4,0,0.365
486,11,amb.sal, ,88,76,60,5,8,R,0,0, ,amb.sal,shrub,622542.1,3849144.2,12,0,0.44
487,12,amb.sal, ,46,31,45,5,8,R,0,0, ,amb.sal,shrub,622542.7,3849144.6,13,0,0.23
488,13,amb.sal, ,51,40,51,5,8,R,0,0, ,amb.sal,shrub,622543.1,3849142.1,14,0,0.255
536,62,amb.sal, ,57,56,44,5,8,L,0,0, ,amb.sal,shrub,622556.8,3849145.15,63,0,0.285
551,78,amb.sal, ,45,57,53,5,7,R,0,0, ,amb.sal,shrub,622542.15,3849147.45,79,0,0.225
556,83,amb.sal, ,26,18,35,5,7,R,0,0, ,amb.sal,shrub,622541.15,3849146.7,84,0,0.13
557,84,amb.sal, ,130,115,67,5,7,R,0,0, ,amb.sal,shrub,622540.5,3849148.3,85,0,0.65
563,90,amb.sal, ,94,74,73,5,7,R,0,0, ,amb.sal,shrub,622540.9,3849150.15,91,0,0.47
570,97,amb.sal, ,70,48,443,5,7,R,0,0, ,amb.sal,shrub,622540.1,3849152.6,98,0,0.35
576,103,amb.sal, ,115,104,66,5,7,R,0,0, ,amb.sal,shrub,622542.55,3849156.15,104,0,0.575
620,148,amb.sal, ,69,60,53,5,7,L,0,0, ,amb.sal,shrub,622554.1,3849149.4,147,0,0.345
634,162,amb.sal, ,86,53,79,5,6,R,0,0, ,amb.sal,shrub,622540.55,3849158.55,161,0,0.43
656,184,amb.sal, ,97,82,67,5,6,R,0,0, ,amb.sal,shrub,622547.55,3849159.75,181,0,0.485
679,207,amb.sal, ,29,34,47,5,6,L,0,0, ,amb.sal,shrub,622558.4,3849166.4,202,0,0.145
681,209,amb.sal, ,72,47,53,5,6,L,0,0, ,amb.sal,shrub,622559.2,3849163.6,204,0,0.36
684,212,amb.sal, ,89,91,66,5,6,L,0,0, ,amb.sal,shrub,622558.2,3849159.95,207,0,0.445
696,224,amb.sal, ,62,51,40,5,6,L,0,0, ,amb.sal,shrub,622554.7,3849157.7,219,0,0.31
706,234,amb.sal, ,85,96,80,5,5,R,0,0, ,amb.sal,shrub,622542.55,3849172.45,229,0,0.425
738,264,amb.sal, ,51,30,59,5,5,L,0,0, ,amb.sal,shrub,622551.9,3849176.5,257,0,0.255
752,278,amb.sal, ,47,38,44,5,5,L,0,0, ,amb.sal,shrub,622556.65,3849170.55,271,0,0.235
756,282,amb.sal, ,136,77,58,5,5,L,0,0, ,amb.sal,shrub,622558.55,3849167.45,275,0,0.68
783,311,amb.sal, ,124,115,49,5,4,L,0,0, ,amb.sal,shrub,622552.95,3849177.6,302,0,0.62
798,325,amb.sal, ,69,45,74,5,4,L,0,0, ,amb.sal,shrub,622555.45,3849186.4,315,0,0.345
802,329,amb.sal, ,85,60,69,5,4,L,0,0, ,amb.sal,shrub,622557.9,3849185.05,319,0,0.425
825,352,amb.sal, ,111,109,73,5,3,R,0,0, ,amb.sal,shrub,622541.35,3849187.3,342,0,0.555
827,354,amb.sal, ,80,60,69,5,3,R,0,0, ,amb.sal,shrub,622540.05,3849188.7,344,0,0.4
874,401,amb.sal, ,70,56,58,5,3,L,0,0, ,amb.sal,shrub,622550.6,3849193.15,389,0,0.35
898,424,amb.sal, ,83,65,62,5,2,R,0,0, ,amb.sal,shrub,622540.8,3849202.75,411,0,0.415
902,428,amb.sal, ,72,85,59,5,2,R,0,0, ,amb.sal,shrub,622542.9267,3849207.3,415,0,0.36
938,462,amb.sal, ,67,88,59,5,1,R,0,0, ,amb.sal,shrub,622540.8,3849211.15,442,0,0.335
942,466,amb.sal, ,73,68,60,5,1,R,0,0, ,amb.sal,shrub,622541.85,3849213.1,446,0,0.365
947,471,amb.sal, ,58,47,80,5,1,R,0,0, ,amb.sal,shrub,622542.728,3849216.195,451,0,0.29
949,473,amb.sal, ,65,50,68,5,1,R,0,0, ,amb.sal,shrub,622543.178,3849215.645,453,0,0.325
950,474,amb.sal, ,52,28,49,5,1,R,0,0, ,amb.sal,shrub,622543.328,3849215.945,454,0,0.26
951,475,amb.sal, ,44,39,43,5,1,R,0,0, ,amb.sal,shrub,622543.728,3849215.645,455,0,0.22
962,486,amb.sal, ,26,21,27,5,1,R,0,0, ,amb.sal,shrub,622547.35,3849215.7,466,0,0.13
965,488,amb.sal, ,53,68,73,5,1,R,0,0, ,amb.sal,shrub,622546.7755,3849214.702,468,0,0.265
966,489,amb.sal, ,62,45,70,5,1,R,0,0, ,amb.sal,shrub,622547.3,3849213.8,469,0,0.31
967,490,amb.sal, ,30,37,50,5,1,R,0,0, ,amb.sal,shrub,622547.55,3849214.1,470,0,0.15
968,491,amb.sal, ,100,96,79,5,1,R,0,0, ,amb.sal,shrub,622547.95,3849213.8,471,0,0.5
972,495,amb.sal, ,80,60,50,5,1,R,0,0, ,amb.sal,shrub,622548.4,3849212.25,475,0,0.4
975,498,amb.sal, ,85,86,70,5,1,R,0,0, ,amb.sal,shrub,622549.45,3849209,478,0,0.425
976,499,amb.sal, ,57,26,50,5,1,R,0,0, ,amb.sal,shrub,622548.9,3849207.85,479,0,0.285
978,501,amb.sal, ,77,66,42,5,1,R,0,0, ,amb.sal,shrub,622546.6,3849209.55,481,0,0.385
988,512,amb.sal, ,76,64,60,5,1,L,0,0, ,amb.sal,shrub,622552.1,3849212.75,493,0,0.38
992,516,amb.sal, ,56,60,38,5,1,L,0,0, ,amb.sal,shrub,622553.9,3849217.35,497,0,0.28
993,517,amb.sal, ,65,63,60,5,1,L,0,0, ,amb.sal,shrub,622553.85,3849215.25,498,0,0.325
999,523,amb.sal, ,129,113,79,5,1,L,0,0, ,amb.sal,shrub,622558.4,3849216.4,504,0,0.645
1003,527,amb.sal, ,87,70,68,5,1,L,0,0, ,amb.sal,shrub,622556.25,3849214.25,508,0,0.435
1006,530,amb.sal, ,85,62,60,5,1,L,0,0, ,amb.sal,shrub,622554.05,3849212.8,511,0,0.425
1022,546,amb.sal, ,79,59,70,5,1,L,0,0, ,amb.sal,shrub,622553.35,3849208.345,527,0,0.395
1023,0,amb.sal, ,45,32,50,5,0, ,0,0, ,amb.sal,shrub,622552.6587,3849207.818,0,0,0.225
1024,547,amb.sal, ,30,35,38,5,1,L,0,0, ,amb.sal,shrub,622550.9,3849207.85,528,0,0.15
1034,0,amb.sal, ,84,76,72,5,0, ,0,0, ,amb.sal,shrub,622543.9387,3849186.789,0,0,0.42
1047,7,amb.sal, ,100,80,87,4,8,R,0,0, ,amb.sal,shrub,622470.744,3849250.552,0,8,0.5
1051,10,amb.sal, ,84,105,76,4,8,R,0,0, ,amb.sal,shrub,622470.994,3849253.252,0,11,0.42
1081,41,amb.sal, ,66,45,69,4,8,L,0,0, ,amb.sal,shrub,622481.244,3849245.602,0,42,0.33
1089,49,amb.sal, ,57,31,55,4,8,L,0,0, ,amb.sal,shrub,622480.594,3849250.352,0,50,0.285
1091,50,amb.sal, ,60,54,40,4,8,L,0,0, ,amb.sal,shrub,622483.244,3849251.352,0,51,0.3
1092,51,amb.sal, ,67,75,50,4,8,L,0,0, ,amb.sal,shrub,622483.394,3849252.202,0,52,0.335
1093,52,amb.sal, ,43,33,40,4,8,L,0,0, ,amb.sal,shrub,622483.844,3849252.502,0,53,0.215
1098,57,amb.sal, ,53,32,61,4,8,L,0,0, ,amb.sal,shrub,622484.894,3849254.402,0,58,0.265
1099,59,amb.sal, ,48,50,45,4,8,L,0,0, ,amb.sal,shrub,622484.944,3849251.352,0,60,0.24
1103,62,amb.sal, ,51,39,52,4,8,L,0,0, ,amb.sal,shrub,622485.344,3849253.452,0,63,0.255
1104,63,amb.sal, ,23,14,22,4,8,L,0,0, ,amb.sal,shrub,622485.144,3849253.352,0,64,0.115
1107,66,amb.sal, ,45,62,71,4,8,L,0,0, ,amb.sal,shrub,622488.394,3849252.752,0,67,0.225
1110,69,amb.sal, ,57,39,43,4,8,L,0,0, ,amb.sal,shrub,622488.644,3849251.452,0,70,0.285
1114,73,amb.sal, ,61,86,63,4,8,L,0,0, ,amb.sal,shrub,622488.694,3849249.552,0,74,0.305
1115,74,amb.sal, ,61,64,56,4,8,L,0,0, ,amb.sal,shrub,622487.844,3849249.002,0,75,0.305
1117,76,amb.sal, ,61,48,52,4,8,L,0,0, ,amb.sal,shrub,622489.994,3849248.852,0,77,0.305
1120,79,amb.sal, ,60,56,54,4,8,L,0,0, ,amb.sal,shrub,622488.844,3849246.452,0,80,0.3
1121,80,amb.sal, ,46,40,33,4,8,L,0,0, ,amb.sal,shrub,622488.044,3849246.052,0,81,0.23
1122,81,amb.sal, ,125,63,74,4,8,L,0,0, ,amb.sal,shrub,622488.144,3849245.802,0,82,0.625
1123,82,amb.sal, ,70,74,40,4,8,L,0,0, ,amb.sal,shrub,622489.044,3849245.152,0,83,0.35
1124,83,amb.sal, ,20,17,20,4,8,L,0,0, ,amb.sal,shrub,622488.194,3849248.352,0,84,0.1
1125,84,amb.sal, ,88,78,48,4,8,L,0,0, ,amb.sal,shrub,622488.494,3849244.752,0,85,0.44
1126,85,amb.sal, ,70,63,55,4,8,L,0,0, ,amb.sal,shrub,622486.394,3849246.002,0,86,0.35
1128,0,amb.sal, ,80,60,69,4,0, ,0,0, ,amb.sal,shrub,622485.544,3849246.602,0,0,0.4
1132,90,amb.sal, ,132,107,65,4,8,L,0,0, ,amb.sal,shrub,622486.1164,3849249.362,0,91,0.66
1134,93,amb.sal, ,103,94,68,4,8,L,0,0, ,amb.sal,shrub,622485.1313,3849248.324,0,94,0.515
1136,95,amb.sal, ,34,37,23,4,8,L,0,0, ,amb.sal,shrub,622484.3813,3849249.324,0,96,0.17
1140,99,amb.sal, ,124,90,75,4,7,R,0,0, ,amb.sal,shrub,622474.144,3849258.152,0,100,0.62
1149,107,amb.sal, ,57,76,44,4,7,R,0,0, ,amb.sal,shrub,622470.544,3849260.402,0,108,0.285
1155,112,amb.sal, ,50,51,55,4,7,R,0,0, ,amb.sal,shrub,622475.644,3849262.252,0,113,0.25
1156,113,amb.sal, ,76,66,58,4,7,R,0,0, ,amb.sal,shrub,622475.944,3849262.152,0,114,0.38
1158,115,amb.sal, ,58,80,66,4,7,R,0,0, ,amb.sal,shrub,622476.71,3849263.243,0,116,0.29
1162,119,amb.sal, ,91,67,75,4,7,R,0,0, ,amb.sal,shrub,622478.294,3849261.802,0,120,0.455
1174,131,amb.sal, ,64,44,87,4,7,R,0,0, ,amb.sal,shrub,622477.344,3849255.402,0,132,0.32
1188,145,amb.sal, ,99,78,65,4,7,L,0,0, ,amb.sal,shrub,622482.4497,3849256.975,0,146,0.495
1190,147,amb.sal, ,35,28,30,4,7,L,0,0, ,amb.sal,shrub,622481.844,3849258.802,0,148,0.175
1193,150,amb.sal, ,60,42,46,4,7,L,0,0, ,amb.sal,shrub,622480.494,3849264.302,0,151,0.3
1203,161,amb.sal, ,83,66,56,4,7,L,0,0, ,amb.sal,shrub,622485.044,3849257.202,0,162,0.415
1208,165,amb.sal, ,155,130,103,4,7,L,0,0, ,amb.sal,shrub,622488.994,3849255.352,0,166,0.775
1269,223,amb.sal, ,95,89,80,4,6,L,0,0, ,amb.sal,shrub,622480.644,3849272.152,0,224,0.475
1298,251,amb.sal, ,62,54,53,4,5,L,0,0, ,amb.sal,shrub,622481.944,3849275.302,0,252,0.31
1299,252,amb.sal, ,73,62,71,4,5,L,0,0, ,amb.sal,shrub,622481.344,3849276.652,0,253,0.365
1300,253,amb.sal, ,85,72,64,4,5,L,0,0, ,amb.sal,shrub,622483.594,3849276.902,0,254,0.425
1304,257,amb.sal, ,61,50,41,4,5,L,0,0, ,amb.sal,shrub,622481.994,3849277.602,0,258,0.305
1305,258,amb.sal, ,73,60,49,4,5,L,0,0, ,amb.sal,shrub,622482.644,3849278.352,0,259,0.365
1307,260,amb.sal, ,52,32,61,4,5,L,0,0, ,amb.sal,shrub,622482.144,3849282.602,0,261,0.26
1309,262,amb.sal, ,75,61,53,4,5,L,0,0, ,amb.sal,shrub,622483.594,3849282.802,0,263,0.375
1312,265,amb.sal, ,85,76,63,4,5,L,0,0, ,amb.sal,shrub,622486.344,3849282.702,0,266,0.425
1315,268,amb.sal, ,63,54,50,4,5,L,0,0, ,amb.sal,shrub,622486.844,3849283.652,0,269,0.315
1316,269,amb.sal, ,55,50,33,4,5,L,0,0, ,amb.sal,shrub,622487.744,3849284.252,0,270,0.275
1317,270,amb.sal, ,20,15,18,4,5,L,0,0, ,amb.sal,shrub,622488.794,3849283.252,0,271,0.1
1318,271,amb.sal, ,28,30,45,4,5,L,0,0, ,amb.sal,shrub,622489.044,3849282.952,0,272,0.14
1319,272,amb.sal, ,28,17,41,4,5,L,0,0, ,amb.sal,shrub,622489.144,3849283.052,0,273,0.14
1323,276,amb.sal, ,46,35,38,4,5,L,0,0, ,amb.sal,shrub,622488.944,3849278.352,0,277,0.23
1345,298,amb.sal, ,107,96,76,4,4,R,0,0, ,amb.sal,shrub,622476.744,3849293.252,0,299,0.535
1346,299,amb.sal, ,37,20,35,4,4,R,0,0, ,amb.sal,shrub,622476.7184,3849292.275,0,300,0.185
1348,301,amb.sal, ,30,34,36,4,4,R,0,0, ,amb.sal,shrub,622477.444,3849293.352,0,302,0.15
1351,304,amb.sal, ,81,60,69,4,4,R,0,0, ,amb.sal,shrub,622479.494,3849291.852,0,305,0.405
1353,306,amb.sal, ,74,50,54,4,4,R,0,0, ,amb.sal,shrub,622479.944,3849291.552,0,307,0.37
1354,307,amb.sal, ,107,74,58,4,4,R,0,0, ,amb.sal,shrub,622478.344,3849290.652,0,308,0.535
1359,312,amb.sal, ,40,30,23,4,4,R,0,0, ,amb.sal,shrub,622479.994,3849289.152,0,313,0.2
1366,318,amb.sal, ,123,115,74,4,4,R,0,0, ,amb.sal,shrub,622476.644,3849287.152,0,319,0.615
1374,326,amb.sal, ,52,40,50,4,4,L,0,0, ,amb.sal,shrub,622480.444,3849287.552,0,327,0.26
1375,327,amb.sal, ,90,78,66,4,4,L,0,0, ,amb.sal,shrub,622481.444,3849288.402,0,328,0.45
1376,328,amb.sal, ,60,48,65,4,4,L,0,0, ,amb.sal,shrub,622481.794,3849290.252,0,329,0.3
1377,330,amb.sal, ,83,69,73,4,4,L,0,0, ,amb.sal,shrub,622482.844,3849291.352,0,331,0.415
1380,332,amb.sal, ,78,42,54,4,4,L,0,0, ,amb.sal,shrub,622482.294,3849291.952,0,333,0.39
1393,345,amb.sal, ,80,52,55,4,4,L,0,0, ,amb.sal,shrub,622487.544,3849291.202,0,346,0.4
1398,350,amb.sal, ,89,75,46,4,4,L,0,0, ,amb.sal,shrub,622489.444,3849294.402,0,351,0.445
1401,353,amb.sal, ,81,69,60,4,4,L,0,0, ,amb.sal,shrub,622490.244,3849292.502,0,354,0.405
1407,359,amb.sal, ,92,88,44,4,4,L,0,0, ,amb.sal,shrub,622487.344,3849286.952,0,360,0.46
1408,360,amb.sal, ,44,50,46,4,4,L,0,0, ,amb.sal,shrub,622486.894,3849286.552,0,361,0.22
1409,361,amb.sal, ,88,65,82,4,4,L,0,0, ,amb.sal,shrub,622485.844,3849286.102,0,362,0.44
1422,374,amb.sal, ,57,68,45,4,3,R,0,0, ,amb.sal,shrub,622471.744,3849302.902,0,375,0.285
1445,397,amb.sal, ,115,97,79,4,3,R,0,0, ,amb.sal,shrub,622478.894,3849297.852,0,398,0.575
1450,402,amb.sal, ,80,57,45,4,3,R,0,0, ,amb.sal,shrub,622478.394,3849295.402,0,403,0.4
1454,406,amb.sal, ,109,70,67,4,3,R,0,0, ,amb.sal,shrub,622476.444,3849294.802,0,407,0.545
1455,407,amb.sal, ,109,66,70,4,3,R,0,0, ,amb.sal,shrub,622476.444,3849295.252,0,408,0.545
1467,419,amb.sal, ,83,73,57,4,3,L,0,0, ,amb.sal,shrub,622480.744,3849300.502,0,420,0.415
1468,420,amb.sal, ,60,73,50,4,3,L,0,0, ,amb.sal,shrub,622481.144,3849300.852,0,421,0.3
1476,428,amb.sal, ,125,86,75,4,3,L,0,0, ,amb.sal,shrub,622484.544,3849302.102,0,429,0.625
1480,434,amb.sal, ,60,54,56,4,3,L,0,0, ,amb.sal,shrub,622486.544,3849304.502,0,435,0.3
1482,436,amb.sal, ,89,96,64,4,3,L,0,0, ,amb.sal,shrub,622487.194,3849302.202,0,437,0.445
1497,453,amb.sal, ,46,22,47,4,3,L,0,0, ,amb.sal,shrub,622487.344,3849294.752,0,454,0.23
1498,454,amb.sal, ,29,24,20,4,2,R,0,0, ,amb.sal,shrub,622474.294,3849307.752,0,455,0.145
1500,456,amb.sal, ,116,104,69,4,2,R,0,0, ,amb.sal,shrub,622473.094,3849308.602,0,457,0.58
1501,457,amb.sal, ,130,82,66,4,2,R,0,0, ,amb.sal,shrub,622472.794,3849306.852,0,458,0.65
1505,461,amb.sal, ,103,81,68,4,2,R,0,0, ,amb.sal,shrub,622471.594,3849307.352,0,462,0.515
1510,466,amb.sal, ,53,50,61,4,2,R,0,0, ,amb.sal,shrub,622472.594,3849312.202,0,467,0.265
1512,468,amb.sal, ,33,40,44,4,2,R,0,0, ,amb.sal,shrub,622473.144,3849310.702,0,469,0.165
1516,472,amb.sal, ,110,80,54,4,2,R,0,0, ,amb.sal,shrub,622471.594,3849313.802,0,473,0.55
1517,473,amb.sal, ,77,55,46,4,2,R,0,0, ,amb.sal,shrub,622472.544,3849315.602,0,474,0.385
1518,474,amb.sal, ,72,66,65,4,2,R,0,0, ,amb.sal,shrub,622470.6411,3849315.266,0,475,0.36
1519,475,amb.sal, ,83,42,56,4,2,R,0,0, ,amb.sal,shrub,622473.694,3849314.252,0,476,0.415
1523,479,amb.sal, ,69,50,39,4,2,R,0,0, ,amb.sal,shrub,622474.594,3849313.102,0,480,0.345
1524,480,amb.sal, ,76,88,42,4,2,R,0,0, ,amb.sal,shrub,622474.0099,3849312.564,0,481,0.38
1526,482,amb.sal, ,13,12,15,4,2,R,0,0, ,amb.sal,shrub,622473.594,3849316.102,0,483,0.065
1528,484,amb.sal, ,36,34,35,4,2,R,0,0, ,amb.sal,shrub,622476.594,3849314.752,0,485,0.18
1532,488,amb.sal, ,123,102,67,4,2,R,0,0, ,amb.sal,shrub,622479.394,3849312.302,0,489,0.615
1535,491,amb.sal, ,76,56,41,4,2,R,0,0, ,amb.sal,shrub,622475.994,3849313.152,0,492,0.38
1547,503,amb.sal, ,34,76,70,4,2,R,0,0, ,amb.sal,shrub,622476.594,3849306.702,0,504,0.17
1549,505,amb.sal, ,67,68,53,4,2,R,0,0, ,amb.sal,shrub,622475.494,3849305.902,0,506,0.335
1553,509,amb.sal, ,68,56,40,4,2,R,0,0, ,amb.sal,shrub,622475.844,3849308.002,0,510,0.34
1558,514,amb.sal, ,114,87,53,4,2,L,0,0, ,amb.sal,shrub,622485.844,3849306.352,0,515,0.57
1564,520,amb.sal, ,65,64,60,4,2,L,0,0, ,amb.sal,shrub,622482.544,3849311.602,0,521,0.325
1566,522,amb.sal, ,63,53,45,4,2,L,0,0, ,amb.sal,shrub,622483.094,3849313.052,0,523,0.315
1574,530,amb.sal, ,95,76,68,4,2,L,0,0, ,amb.sal,shrub,622484.444,3849316.352,0,531,0.475
1575,531,amb.sal, ,94,71,70,4,2,L,0,0, ,amb.sal,shrub,622485.294,3849316.552,0,532,0.47
1582,538,amb.sal, ,59,40,47,4,2,L,0,0, ,amb.sal,shrub,622487.644,3849315.452,0,539,0.295
1593,549,amb.sal, ,98,77,76,4,2,L,0,0, ,amb.sal,shrub,622488.094,3849314.002,0,550,0.49
1594,550,amb.sal, ,116,61,66,4,2,L,0,0, ,amb.sal,shrub,622487.444,3849313.452,0,551,0.58
1596,552,amb.sal, ,107,93,62,4,2,L,0,0, ,amb.sal,shrub,622487.394,3849312.052,0,553,0.535
1598,554,amb.sal, ,44,25,33,4,2,L,0,0, ,amb.sal,shrub,622490.244,3849310.102,0,555,0.22
1614,573,amb.sal, ,90,62,61,4,1,R,0,0, ,amb.sal,shrub,622471.244,3849316.002,0,574,0.45
1625,584,amb.sal, ,60,77,55,4,1,R,0,0, ,amb.sal,shrub,622472.044,3849323.502,0,585,0.3
1626,585,amb.sal, ,74,55,60,4,1,R,0,0, ,amb.sal,shrub,622470.644,3849324.752,0,586,0.37
1631,590,amb.sal, ,98,90,87,4,1,R,0,0, ,amb.sal,shrub,622474.194,3849324.002,0,591,0.49
1637,596,amb.sal, ,40,41,31,4,1,R,0,0, ,amb.sal,shrub,622476.694,3849323.052,0,597,0.2
1638,597,amb.sal, ,57,42,52,4,1,R,0,0, ,amb.sal,shrub,622476.394,3849321.602,0,598,0.285
1641,600,amb.sal, ,78,35,43,4,1,R,0,0, ,amb.sal,shrub,622477.694,3849321.902,0,601,0.39
1650,609,amb.sal, ,60,40,54,4,1,R,0,0, ,amb.sal,shrub,622475.494,3849320.202,0,610,0.3
1652,611,amb.sal, ,81,50,56,4,1,R,0,0, ,amb.sal,shrub,622479.044,3849319.452,0,612,0.405
1656,616,amb.sal, ,42,27,36,4,1,R,0,0, ,amb.sal,shrub,622477.394,3849315.852,0,617,0.21
1657,617,amb.sal, ,88,72,56,4,1,R,0,0, ,amb.sal,shrub,622477.244,3849316.602,0,618,0.44
